UUID,SAD,STR,SITMOD,DIST,REAP,RUM,EMOCOPE,time_hours,delta_t
01ad815e-a1f1-4ca2-8570-fdbabbc91253,31.0,73.0,70.0,16.0,60.0,36.0,79.0,0.0,
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,30.0,57.0,0.0,22.0,0.0,66.0,1.0333333333333334,1.0333333333333334
01ad815e-a1f1-4ca2-8570-fdbabbc91253,16.0,61.0,0.0,31.0,0.0,0.0,66.0,2.0166666666666666,0.9833333333333332
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,77.0,73.0,0.0,2.0,0.0,82.0,3.1333333333333333,1.1166666666666667
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,78.0,79.0,86.0,74.0,0.0,100.0,4.383333333333334,1.2500000000000004
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,20.0,73.0,12.0,27.0,1.0,84.0,5.566666666666666,1.1833333333333327
01ad815e-a1f1-4ca2-8570-fdbabbc91253,24.0,71.0,30.0,19.0,0.0,0.0,38.0,18.433333333333334,12.866666666666667
01ad815e-a1f1-4ca2-8570-fdbabbc91253,25.0,63.0,68.0,67.0,27.0,67.0,63.0,19.966666666666665,1.5333333333333314
01ad815e-a1f1-4ca2-8570-fdbabbc91253,15.0,23.0,69.0,78.0,0.0,0.0,39.0,20.9,0.9333333333333336
01ad815e-a1f1-4ca2-8570-fdbabbc91253,24.0,29.0,18.0,2.0,18.0,6.0,68.0,21.966666666666665,1.0666666666666664
01ad815e-a1f1-4ca2-8570-fdbabbc91253,11.0,59.0,56.0,30.0,52.0,71.0,75.0,23.0,1.033333333333335
01ad815e-a1f1-4ca2-8570-fdbabbc91253,34.0,34.0,63.0,63.0,26.0,34.0,76.0,24.75,1.75
01ad815e-a1f1-4ca2-8570-fdbabbc91253,37.0,90.0,35.0,15.0,25.0,12.0,34.0,26.066666666666666,1.3166666666666664
01ad815e-a1f1-4ca2-8570-fdbabbc91253,59.0,55.0,8.0,43.0,77.0,13.0,55.0,27.816666666666666,1.75
01ad815e-a1f1-4ca2-8570-fdbabbc91253,59.0,26.0,72.0,17.0,0.0,18.0,79.0,29.1,1.283333333333335
01ad815e-a1f1-4ca2-8570-fdbabbc91253,68.0,88.0,73.0,12.0,18.0,100.0,64.0,42.43333333333333,13.333333333333329
01ad815e-a1f1-4ca2-8570-fdbabbc91253,15.0,77.0,83.0,75.0,79.0,78.0,77.0,43.983333333333334,1.5500000000000043
01ad815e-a1f1-4ca2-8570-fdbabbc91253,26.0,68.0,85.0,17.0,18.0,20.0,67.0,45.583333333333336,1.6000000000000014
01ad815e-a1f1-4ca2-8570-fdbabbc91253,19.0,28.0,77.0,3.0,78.0,11.0,74.0,47.21666666666667,1.6333333333333329
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,17.0,13.0,4.0,5.0,10.0,69.0,48.85,1.6333333333333329
01ad815e-a1f1-4ca2-8570-fdbabbc91253,20.0,14.0,17.0,71.0,67.0,1.0,90.0,50.516666666666666,1.6666666666666643
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,22.0,13.0,90.0,13.0,11.0,82.0,66.43333333333334,15.916666666666671
01ad815e-a1f1-4ca2-8570-fdbabbc91253,14.0,0.0,14.0,97.0,16.0,15.0,92.0,67.38333333333334,0.9500000000000028
01ad815e-a1f1-4ca2-8570-fdbabbc91253,19.0,8.0,9.0,68.0,30.0,14.0,65.0,68.91666666666667,1.5333333333333314
01ad815e-a1f1-4ca2-8570-fdbabbc91253,2.0,18.0,64.0,70.0,20.0,64.0,74.0,70.18333333333334,1.2666666666666657
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,3.0,0.0,100.0,1.0,0.0,93.0,71.71666666666667,1.5333333333333314
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,18.0,76.0,85.0,27.0,12.0,69.0,72.76666666666667,1.0499999999999972
01ad815e-a1f1-4ca2-8570-fdbabbc91253,19.0,0.0,30.0,79.0,12.0,6.0,69.0,74.23333333333333,1.4666666666666686
01ad815e-a1f1-4ca2-8570-fdbabbc91253,2.0,10.0,72.0,64.0,71.0,0.0,89.0,75.61666666666666,1.3833333333333258
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,2.0,0.0,90.0,0.0,0.0,98.0,77.06666666666666,1.4500000000000028
01ad815e-a1f1-4ca2-8570-fdbabbc91253,16.0,6.0,3.0,0.0,2.0,0.0,63.0,90.43333333333334,13.366666666666674
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,12.0,8.0,71.0,20.0,19.0,67.0,91.48333333333333,1.0499999999999972
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,6.0,0.0,77.0,28.0,19.0,79.0,92.66666666666667,1.1833333333333371
01ad815e-a1f1-4ca2-8570-fdbabbc91253,5.0,23.0,17.0,6.0,0.0,0.0,73.0,93.85,1.183333333333323
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,18.0,15.0,84.0,24.0,11.0,72.0,95.51666666666667,1.6666666666666714
01ad815e-a1f1-4ca2-8570-fdbabbc91253,14.0,22.0,65.0,72.0,27.0,7.0,77.0,97.33333333333333,1.8166666666666629
01ad815e-a1f1-4ca2-8570-fdbabbc91253,1.0,9.0,82.0,77.0,11.0,10.0,78.0,98.8,1.4666666666666686
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,0.0,0.0,70.0,20.0,0.0,74.0,99.9,1.1000000000000085
01ad815e-a1f1-4ca2-8570-fdbabbc91253,25.0,28.0,33.0,70.0,66.0,13.0,75.0,101.65,1.75
01ad815e-a1f1-4ca2-8570-fdbabbc91253,6.0,13.0,30.0,28.0,24.0,9.0,75.0,114.43333333333334,12.783333333333331
01ad815e-a1f1-4ca2-8570-fdbabbc91253,19.0,0.0,17.0,0.0,32.0,32.0,77.0,115.38333333333334,0.9500000000000028
01ad815e-a1f1-4ca2-8570-fdbabbc91253,8.0,17.0,0.0,69.0,0.0,13.0,75.0,116.58333333333333,1.1999999999999886
01ad815e-a1f1-4ca2-8570-fdbabbc91253,10.0,12.0,71.0,81.0,12.0,11.0,74.0,117.65,1.066666666666677
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,4.0,12.0,66.0,17.0,14.0,75.0,118.93333333333334,1.2833333333333314
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,19.0,6.0,16.0,79.0,0.0,66.0,123.46666666666667,4.533333333333331
01ad815e-a1f1-4ca2-8570-fdbabbc91253,67.0,67.0,9.0,67.0,0.0,0.0,64.0,125.2,1.7333333333333343
01ad815e-a1f1-4ca2-8570-fdbabbc91253,0.0,68.0,68.0,21.0,3.0,0.0,85.0,138.43333333333334,13.233333333333334
01ad815e-a1f1-4ca2-8570-fdbabbc91253,19.0,43.0,70.0,0.0,27.0,11.0,72.0,139.56666666666666,1.1333333333333258
01ad815e-a1f1-4ca2-8570-fdbabbc91253,25.0,33.0,67.0,28.0,22.0,0.0,69.0,141.16666666666666,1.5999999999999943
